dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
-22,0.34255499,25.9892606,0.42153248,EOSmintomaxcubic_EoS_EVTNDGI,17,16,33
19,0.287401697,19.52903821,0.254737583,EOSEoS_mintomaxthreshold_EVI5,33,1,34
3,0.30215015,22.9059672,0.195690735,EOSEoS_mintomaxthreshold_NDVI5,29,6,35
5,0.340740101,26.30811028,-0.075189655,EOSEoS_mintomaxthreshold_EVI3,18,18,36
-8,0.343311764,27.50530252,-0.070450938,EOSEoS_mintomaxthreshold_NDVI4,16,21,37
14,0.272028428,22.45996438,0.177843375,EOSEoS_mintomaxthreshold_EVI4,35,4,39
-16,0.263810705,25.21654119,0.690142529,EOSmintomaxcubic_EoS_EVTNDVI,37,12,49
-1,0.2565895,25.68608573,0.683851896,EOScubic_EoS_EVTNDVI,41,15,56
20,0.199818595,21.05548226,0.341812547,EOSEoS_threshold_EVI5,62,2,64
4,0.202274252,24.49710867,0.040002328,EOSEoS_threshold_NDVI5,61,10,71
-4,0.304853507,30.3891428,-0.327415894,EOSEoS_threshold_NDVI4,28,44,72
-1,0.429035189,31.42742963,-0.425695027,EOSEoS_mintomaxthreshold_EVI2,2,73,75
15,0.169132595,24.3977458,0.163334492,EOSEoS_threshold_EVI4,75,8,83
-8,0.441791393,36.29956382,-0.656637467,EOSEoS_mintomaxthreshold_EVI13,1,104,105
6,0.126984415,28.02160031,0.341464627,EOSEoS_mintomaxcubic_threshold_NDPI4,90,24,114
-10,0.138355756,29.40588176,0.223162464,EOSEoS_mintomaxcubic_threshold_EVI3,88,30,118
-30,0.260404802,32.73568389,-0.085586608,EOSEoS_mintomaxthreshold_NDGI5,39,80,119
-110,0.121417602,27.89948666,0.317172019,EOSEoS_mintomaxcubic_threshold_NDVI4,98,22,120
-30,0.339580867,36.08635476,-0.44904471,EOSEoS_mintomaxthreshold_NDVI3,19,102,121
-31,0.085036677,25.541923,0.557117635,EOSEoS_mintomaxcubic_threshold_NDVI5,111,13,124
2,0.151749176,30.30004021,0.080477634,EOSEoS_mintomaxcubic_threshold_NDPI3,82,43,125
-10,0.091622156,26.06852118,0.570565094,EOSEoS_mintomaxcubic_threshold_NDGI5,109,17,126
6,0.183848282,30.9924722,-0.147002996,EOSEoS_threshold_EVI3,70,56,126
