dif,R,RMSE,KGE,name,dif_mean,,
124,-0.33545024,95.92367108,-2.181642453,BudburstSoS_threshold_NDGI1,73.8970452,,
124,-0.271332483,92.37456605,-2.511678068,BudburstSoS_threshold_NDGI13,64.34602479,,
124,-0.232891551,84.83741132,-2.731136822,BudburstSoS_threshold_NDGI2,48.32561663,,
4,-0.253265284,65.07970768,-1.314428085,BudburstSoS_threshold_NDGI3,15.14194316,,
-9,-0.077513671,58.316292,-1.106067588,BudburstSoS_threshold_NDGI4,0.876637038,,
-20,0.062911144,56.79486959,-1.161574625,BudburstSoS_threshold_NDGI5,-14.67438337,,
28,-0.331572904,76.93993031,-1.46080417,BudburstSoS_threshold_EVI1,45.67255541,,
23,-0.404732578,69.01634387,-0.951207118,BudburstSoS_threshold_EVI13,31.01949418,,
22,-0.322880091,57.63099727,-0.190362804,BudburstSoS_threshold_EVI2,15.67255541,,
5,-0.155487733,39.07473715,0.576821538,BudburstSoS_threshold_EVI3,-6.388669084,,
-9,-0.118410571,42.33634783,0.168645363,BudburstSoS_threshold_EVI4,-20.20499561,,
-25,-0.070255114,48.84758996,-0.257407559,BudburstSoS_threshold_EVI5,-32.96009766,,
124,-0.167550249,83.80300517,-1.698417138,BudburstSoS_threshold_NDPI1,62.57051459,,
124,-0.079264998,71.78539125,-1.645914011,BudburstSoS_threshold_NDPI13,40.8970452,,
124,0.014883352,57.21145506,-0.89830098,BudburstSoS_threshold_NDPI2,19.77459622,,
124,0.201148752,51.24967776,-1.0759975,BudburstSoS_threshold_NDPI3,3.019494181,,
-9,0.205073947,52.98030795,-1.119920317,BudburstSoS_threshold_NDPI4,-14.59275072,,
-23,0.337358375,52.67754527,-0.902590522,BudburstSoS_threshold_NDPI5,-28.63356704,,
124,-0.262817752,86.36802678,-2.21940529,BudburstSoS_threshold_NDVI1,56.75418806,,
124,-0.27199144,75.85570209,-1.98107545,BudburstSoS_threshold_NDVI13,36.22357581,,
22,-0.200185575,60.61571514,-0.842484351,BudburstSoS_threshold_NDVI2,15.69296357,,
4,-0.000296276,53.22326302,-0.647029823,BudburstSoS_threshold_NDVI3,-0.817240513,,
-9,0.01801678,46.87076858,0.184998942,BudburstSoS_threshold_NDVI4,-21.06213847,,
-24,0.067353246,48.84229036,-0.337773873,BudburstSoS_threshold_NDVI5,-35.34785276,,
124,-0.415679434,105.2329548,-2.363013549,BudburstSoS_threshold_PPI1,88.87663704,,
124,-0.232374499,99.24399483,-2.560510605,BudburstSoS_threshold_PPI13,77.08071867,,
124,-0.013331755,81.30318313,-3.102377695,BudburstSoS_threshold_PPI2,45.75418806,,
124,-0.173932042,73.47703287,-2.961995356,BudburstSoS_threshold_PPI3,13.87663704,,
-13,-0.03674009,72.31133518,-3.329360651,BudburstSoS_threshold_PPI4,-14.24581194,,
-25,0.233220591,67.28636868,-1.882418498,BudburstSoS_threshold_PPI5,-41.61315888,,
77,-0.151026301,53.59502009,-0.1725186,BudburstfilterSoS_threshold_NDGI1,32.63173908,,
29,-0.193858518,48.32800038,0.338799426,BudburstfilterSoS_threshold_NDGI13,17.32561663,,
26,-0.155174923,44.86081047,0.668649741,BudburstfilterSoS_threshold_NDGI2,6.754188059,,
4,-0.12262687,43.89568626,0.665825509,BudburstfilterSoS_threshold_NDGI3,-7.878465003,,
-9,0.070295724,43.70180948,0.273569984,BudburstfilterSoS_threshold_NDGI4,-20.04173031,,
-20,0.106057537,50.83720856,-0.155255275,BudburstfilterSoS_threshold_NDGI5,-30.18458745,,
28,-0.165231128,42.49477219,0.237131739,BudburstfilterSoS_threshold_EVI1,18.40724928,,
23,-0.135070686,39.86775328,0.511250492,BudburstfilterSoS_threshold_EVI13,10.14194316,,
22,-0.016214804,35.96779949,0.622259122,BudburstfilterSoS_threshold_EVI2,1.162351324,,
5,0.029194679,35.87141631,0.374496527,BudburstfilterSoS_threshold_EVI3,-11.36826092,,
-9,0.047399837,42.08473516,-0.006064897,BudburstfilterSoS_threshold_EVI4,-25.02132215,,
-25,0.036127904,48.38377067,-0.340677716,BudburstfilterSoS_threshold_EVI5,-34.81724051,,
26,0.211592152,41.50912249,0.232517169,BudburstfilterSoS_threshold_NDPI1,21.32561663,,
23,0.295549929,36.95160077,0.53093533,BudburstfilterSoS_threshold_NDPI13,9.060310508,,
19,0.304886803,36.43657992,0.557867643,BudburstfilterSoS_threshold_NDPI2,2.958269691,,
9,0.296616917,40.00208917,0.219204197,BudburstfilterSoS_threshold_NDPI3,-10.81724051,,
-9,0.287537336,47.05282854,-0.19581181,BudburstfilterSoS_threshold_NDPI4,-25.63356704,,
-23,0.333311448,51.75293815,-0.484087877,BudburstfilterSoS_threshold_NDPI5,-34.28662827,,
28,-0.187678768,44.54433311,0.328722095,BudburstfilterSoS_threshold_NDVI1,17.75418806,,
24,-0.152049313,40.10181489,0.679119362,BudburstfilterSoS_threshold_NDVI13,5.346024793,,
22,-0.069692018,39.03818182,0.796507794,BudburstfilterSoS_threshold_NDVI2,-1.307036431,,
4,0.135953396,38.64745027,0.434537575,BudburstfilterSoS_threshold_NDVI3,-15.28662827,,
-9,0.188861341,43.25251084,-0.045204741,BudburstfilterSoS_threshold_NDVI4,-28.08254664,,
-24,0.132435684,52.23853032,-0.489199331,BudburstfilterSoS_threshold_NDVI5,-40.32744459,,
77,0.056558231,54.12264952,-0.337816251,BudburstfilterSoS_threshold_PPI1,37.22357581,,
23,0.103160937,47.59692836,0.029554934,BudburstfilterSoS_threshold_PPI13,21.01949418,,
8,0.274731597,39.68761878,0.25003845,BudburstfilterSoS_threshold_PPI2,2.999086018,,
0,0.203080242,46.77565794,-0.200579127,BudburstfilterSoS_threshold_PPI3,-16.57234255,,
-13,0.369045575,55.18119517,-0.8560979,BudburstfilterSoS_threshold_PPI4,-36.61315888,,
-25,0.345616663,64.00626327,-1.170296051,BudburstfilterSoS_threshold_PPI5,-48.40907725,,
31,-0.211939972,48.53821712,0.076324996,BudburstmintomaxSoS_threshold_NDGI1,25.20316765,,
29,-0.217083133,47.16213811,0.438343752,BudburstmintomaxSoS_threshold_NDGI13,14.97867785,,
26,-0.177890545,46.02874264,0.585014075,BudburstmintomaxSoS_threshold_NDGI2,9.101126834,,
4,-0.104827249,44.85810173,0.632599374,BudburstmintomaxSoS_threshold_NDGI3,-1.61315888,,
-9,0.018890436,46.84114993,0.183624548,BudburstmintomaxSoS_threshold_NDGI4,-12.02132215,,
-20,0.113162181,49.94506469,-0.151311037,BudburstmintomaxSoS_threshold_NDGI5,-24.24581194,,
28,-0.236516153,48.96136303,0.133747868,BudburstmintomaxSoS_threshold_EVI1,23.85622887,,
23,-0.126185157,42.68806063,0.435671211,BudburstmintomaxSoS_threshold_EVI13,14.79500439,,
22,-0.0702954,40.51577783,0.730265502,BudburstmintomaxSoS_threshold_EVI2,6.590922752,,
5,-0.016889173,36.08823164,0.443006916,BudburstmintomaxSoS_threshold_EVI3,-8.837648676,,
-9,0.050711226,40.81940358,0.054596305,BudburstmintomaxSoS_threshold_EVI4,-23.00091398,,
-25,0.011184145,47.91521094,-0.309728505,BudburstmintomaxSoS_threshold_EVI5,-33.81724051,,
26,-0.274190242,60.4565029,-0.407158738,BudburstmintomaxSoS_threshold_NDPI1,26.26439214,,
23,-0.216984072,56.56936786,-0.314216579,BudburstmintomaxSoS_threshold_NDPI13,14.81541255,,
19,-0.146084675,51.06884918,0.052675416,BudburstmintomaxSoS_threshold_NDPI2,4.652147242,,
9,0.132621589,44.98296177,0.107318898,BudburstmintomaxSoS_threshold_NDPI3,-11.51111806,,
-9,0.202250976,48.72957073,-0.225057784,BudburstmintomaxSoS_threshold_NDPI4,-23.85805684,,
-23,0.234845163,54.25909959,-0.606941475,BudburstmintomaxSoS_threshold_NDPI5,-32.55193439,,
28,-0.082165318,41.72686449,0.304026423,BudburstmintomaxSoS_threshold_NDVI1,17.48888194,,
24,-0.016824611,38.21024182,0.644489441,BudburstmintomaxSoS_threshold_NDVI13,7.32561663,,
22,0.053407841,37.65000343,0.871338591,BudburstmintomaxSoS_threshold_NDVI2,1.223575814,,
4,0.161736184,38.77326725,0.588078662,BudburstmintomaxSoS_threshold_NDVI3,-10.69479153,,
-9,0.200908427,41.74837367,0.05922412,BudburstmintomaxSoS_threshold_NDVI4,-25.42948541,,
-24,0.131138768,50.57792289,-0.415350167,BudburstmintomaxSoS_threshold_NDVI5,-38.16417929,,
28,0.28201916,35.83567139,0.689681302,BudburstmintomaxSoS_threshold_PPI1,4.080718671,,
23,0.327346921,35.40764583,0.612899343,BudburstmintomaxSoS_threshold_PPI13,-4.898873166,,
8,0.358257387,37.84239159,0.308114057,BudburstmintomaxSoS_threshold_PPI2,-12.4907099,,
0,0.442645136,44.58881301,-0.320621229,BudburstmintomaxSoS_threshold_PPI3,-25.55193439,,
-13,0.506122032,52.68245369,-0.732081048,BudburstmintomaxSoS_threshold_PPI4,-39.36826092,,
-25,0.539576154,60.49046422,-1.025266101,BudburstmintomaxSoS_threshold_PPI5,-50.53152623,,
67,0.137131181,65.73401185,-0.913223664,Budburstcubic_SoS_threshold_NDGI1,52.71337173,,
63,0.153901538,61.90601141,-0.754850463,Budburstcubic_SoS_threshold_NDGI13,45.91745336,,
57,0.191289284,59.48037689,-0.736735106,Budburstcubic_SoS_threshold_NDGI2,40.8970452,,
19,0.293323907,52.42474986,-0.824552281,Budburstcubic_SoS_threshold_NDGI3,26.7337799,,
3,0.373105189,46.12829547,-0.798835315,Budburstcubic_SoS_threshold_NDGI4,13.61133092,,
-10,0.469403591,40.73414884,-0.666483846,Budburstcubic_SoS_threshold_NDGI5,-0.388669084,,
67,0.296538045,48.96550861,-0.249321617,Budburstcubic_SoS_threshold_EVI1,34.46847377,,
31,0.405997434,41.61340865,0.032267332,Budburstcubic_SoS_threshold_EVI13,25.16235132,,
22,0.488389996,35.65967561,0.260113296,Budburstcubic_SoS_threshold_EVI2,17.42765745,,
5,0.55011733,31.14041299,0.347253118,Budburstcubic_SoS_threshold_EVI3,3.509290099,,
-7,0.574340343,32.30661602,0.12893363,Budburstcubic_SoS_threshold_EVI4,-7.021322146,,
-15,0.599972722,35.12773696,0.024337254,Budburstcubic_SoS_threshold_EVI5,-18.51111806,,
99,0.361042572,56.30517353,-1.297640514,Budburstcubic_SoS_threshold_NDPI1,32.26439214,,
95,0.36954496,55.6990782,-1.611707346,Budburstcubic_SoS_threshold_NDPI13,26.8970452,,
90,0.396708672,54.09017432,-1.92328949,Budburstcubic_SoS_threshold_NDPI2,19.24398398,,
-8,0.365627623,59.66276528,-3.222135803,Budburstcubic_SoS_threshold_NDPI3,4.754188059,,
-17,0.371046524,62.87450638,-3.866614584,Budburstcubic_SoS_threshold_NDPI4,-3.449893574,,
-23,0.368559393,66.85964036,-4.476069078,Budburstcubic_SoS_threshold_NDPI5,-11.16417929,,
34,0.218199822,58.1582804,-0.62286096,Budburstcubic_SoS_threshold_NDVI1,42.85622887,,
23,0.336213238,51.0969386,-0.449091631,Budburstcubic_SoS_threshold_NDVI13,33.61133092,,
16,0.382077619,43.64571118,-0.158642779,Budburstcubic_SoS_threshold_NDVI2,22.48888194,,
1,0.482901483,36.56231049,-0.070035354,Budburstcubic_SoS_threshold_NDVI3,6.611330916,,
-9,0.587189098,32.62611718,0.014246919,Budburstcubic_SoS_threshold_NDVI4,-6.449893574,,
-18,0.590296991,37.58260734,-0.320294493,Budburstcubic_SoS_threshold_NDVI5,-17.34785276,,
67,-0.001663056,81.1965972,-3.827789466,Budburstcubic_SoS_threshold_PPI1,37.87663704,,
64,0.019483445,79.91615101,-4.064430782,Budburstcubic_SoS_threshold_PPI13,32.85622887,,
60,0.041077317,77.18097032,-4.230673249,Budburstcubic_SoS_threshold_PPI2,23.42765745,,
15,0.125380014,73.45803718,-4.483333262,Budburstcubic_SoS_threshold_PPI3,9.060310508,,
-2,0.130183026,72.63607159,-4.338564286,Budburstcubic_SoS_threshold_PPI4,-9.409077248,,
-12,0.227547818,72.04005801,-3.882904534,Budburstcubic_SoS_threshold_PPI5,-27.73560786,,
25,0.399446611,32.34131037,0.174989132,Budburstfilter_cubic_SoS_threshold_NDGI1,17.99908602,,
19,0.490849968,27.903548,0.450235494,Budburstfilter_cubic_SoS_threshold_NDGI13,10.97867785,,
12,0.528967334,26.01725809,0.723248121,Budburstfilter_cubic_SoS_threshold_NDGI2,4.427657446,,
-1,0.563147896,27.17366344,0.734714408,Budburstfilter_cubic_SoS_threshold_NDGI3,-7.347852758,,
-10,0.580481485,32.34215981,0.328837742,Budburstfilter_cubic_SoS_threshold_NDGI4,-17.73560786,,
-26,0.568683104,39.96039131,-0.062053102,Budburstfilter_cubic_SoS_threshold_NDGI5,-28.51111806,,
22,0.571194293,27.29683713,0.208105368,Budburstfilter_cubic_SoS_threshold_EVI1,14.7337799,,
15,0.603512234,23.70076481,0.413962324,Budburstfilter_cubic_SoS_threshold_EVI13,7.754188059,,
8,0.596580657,22.91180281,0.578636267,Budburstfilter_cubic_SoS_threshold_EVI2,1.346024793,,
-4,0.560856014,26.99327441,0.573413319,Budburstfilter_cubic_SoS_threshold_EVI3,-10.47030174,,
-12,0.569674893,32.69425433,0.249543246,Budburstfilter_cubic_SoS_threshold_EVI4,-20.83764868,,
-22,0.549511292,40.78565564,-0.160114075,Budburstfilter_cubic_SoS_threshold_EVI5,-32.06213847,,
10,0.617360486,23.24195254,0.436163091,Budburstfilter_cubic_SoS_threshold_NDPI1,7.223575814,,
5,0.615813749,22.60580103,0.63861887,Budburstfilter_cubic_SoS_threshold_NDPI13,0.978677854,,
0,0.566807448,25.55741364,0.719933443,Budburstfilter_cubic_SoS_threshold_NDPI2,-5.939689492,,
-11,0.579817288,30.07920673,0.455948681,Budburstfilter_cubic_SoS_threshold_NDPI3,-15.14377113,,
-19,0.581208644,37.55329112,0.040413669,Budburstfilter_cubic_SoS_threshold_NDPI4,-25.36826092,,
-25,0.549619193,46.05501259,-0.352623164,Budburstfilter_cubic_SoS_threshold_NDPI5,-34.69479153,,
22,0.586301161,26.35817634,0.287035373,Budburstfilter_cubic_SoS_threshold_NDVI1,13.2848003,,
14,0.637135649,22.58813921,0.53562307,Budburstfilter_cubic_SoS_threshold_NDVI13,5.897045201,,
7,0.618248004,22.84662163,0.714569836,Budburstfilter_cubic_SoS_threshold_NDVI2,-0.531526227,,
-4,0.607391617,27.23733513,0.535188071,Budburstfilter_cubic_SoS_threshold_NDVI3,-12.69479153,,
-13,0.5920629,34.55623092,0.158123022,Budburstfilter_cubic_SoS_threshold_NDVI4,-23.63356704,,
-24,0.573985358,43.26883424,-0.25616263,Budburstfilter_cubic_SoS_threshold_NDVI5,-35.16417929,,
19,0.624568409,23.87212325,0.578927551,Budburstfilter_cubic_SoS_threshold_PPI1,7.897045201,,
12,0.626364847,23.43507231,0.876373358,Budburstfilter_cubic_SoS_threshold_PPI13,0.060310508,,
4,0.636298268,25.78378442,0.684218021,Budburstfilter_cubic_SoS_threshold_PPI2,-8.409077248,,
