dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
-11.5,0.617990131,18.24634365,0.870905738,Budburstmintomaxdoublelogistic_SoS_threshold_EVI13,-22.22654135,20,5,2,27
-3.5,0.624103074,17.96933865,0.775624452,Budburstmintomaxdoublelogistic_SoS_threshold_EVI1,-4.764277195,16,4,8,28
18.5,0.583187116,19.11382655,0.821531228,Budburstfilterdoublelogistic_SoS_threshold_NDVI1,-6.358616818,27,8,4,39
13.5,0.630095011,19.56284981,0.611085705,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI13,0.792326578,11,10,19,40
-23.5,0.581621396,18.90191579,0.703932331,Budburstfilter_cubic_SoS_threshold_NDPI13,1.933836012,28,6,12,46
9.5,0.579133154,19.67884954,0.792229619,Budburstfilterdoublelogistic_SoS_threshold_NDVI13,14.40553413,30,11,7,48
-4.5,0.570807977,17.79938811,0.700726994,Budburstfilterdoublelogistic_SoS_threshold_EVI1,-25.05673003,38,1,13,52
22.5,0.62874687,20.75176244,0.512441355,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI1,8.21685488,12,17,25,54
-20.5,0.567444343,17.90818905,0.713665564,Budburstfilter_cubic_SoS_threshold_NDPI1,-25.84918286,43,2,10,55
-16.5,0.612385178,20.21138619,0.60430788,Budburstmintomaxdoublelogistic_SoS_threshold_EVI2,-15.70767342,21,14,20,55
6.5,0.627686785,20.59710096,0.473655285,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI2,-24.54729606,13,16,27,56
-8.5,0.559623389,17.96732276,0.677500561,Budburstfilter_cubic_SoS_threshold_EVI13,-6.207673422,53,3,15,71
-19.5,0.560907875,19.03124508,0.660121021,Budburstfilter_cubic_SoS_threshold_EVI2,-19.62276776,51,7,16,74
-11.5,0.564018193,19.30573738,0.635665076,Budburstfilterdoublelogistic_SoS_threshold_EVI13,6.471571861,48,9,17,74
2.5,0.577180259,21.79370183,0.51898477,Budburstfilterdoublelogistic_SoS_threshold_NDVI2,-28.69823946,32,18,24,74
-3.5,0.633477312,23.28065893,0.186139037,Budburstdoublelogistic_SoS_threshold_NDVI3,-13.33974889,9,22,44,75
17.5,0.535869209,20.29197258,0.894884953,Budburstfilter_cubic_SoS_threshold_NDVI2,1.764024691,70,15,1,86
21.5,0.542010102,20.09299531,0.709423942,Budburstfilter_cubic_SoS_threshold_NDVI13,31.07534545,66,13,11,90
-11.5,0.587220109,22.9821834,0.16319662,Budburstdoublelogistic_SoS_threshold_EVI13,-13.08503191,26,21,47,94
-24.5,0.609300192,24.94163647,0.199664738,Budburstmintomaxdoublelogistic_SoS_threshold_EVI3,-7.830314931,22,34,42,98
