dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
-28.7142857,0.810650081,10.86845091,-1.392650044,Budburstfilterdoublelogistic_SoS_threshold_NDGI1,-7.253520918,23,5,14,42
-29.7142857,0.792986631,11.25641808,-0.845480788,Budburstfilterdoublelogistic_SoS_threshold_NDVI1,-8.889884555,40,7,8,55
-25.7142857,0.781470106,9.899959552,-0.300057572,Budburstmintomaxdoublelogistic_SoS_threshold_EVI1,-8.026248191,60,3,2,65
-27.7142857,0.782924962,10.00071534,-0.663411947,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI1,-7.208066373,55,4,6,65
-37.7142857,0.813969792,17.25765008,-2.249818607,Budburstfilterdoublelogistic_SoS_threshold_NDGI13,-14.9353391,20,21,26,67
-36.7142857,0.795332209,16.55899746,-1.587211957,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI13,-14.88988455,38,18,16,72
-27.7142857,0.77728893,11.24388915,-0.529458692,Budburstfilterdoublelogistic_SoS_threshold_EVI1,-9.480793645,65,6,4,75
-37.7142857,0.801368254,18.31919782,-1.840230751,Budburstfilterdoublelogistic_SoS_threshold_NDVI13,-16.79897546,31,25,20,76
-39.7142857,0.849652226,19.59521745,-2.870240077,Budburstmintomaxdoublelogistic_SoS_threshold_PPI13,-17.34443001,5,31,40,76
-33.7142857,0.785062986,16.95803304,-1.671350811,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI1,-15.20806637,52,20,19,91
-39.7142857,0.837100804,20.85352805,-3.165834328,Budburstfilterdoublelogistic_SoS_threshold_PPI13,-18.48079365,9,38,44,91
-34.7142857,0.769716596,16.86511786,-1.336700162,Budburstmintomaxdoublelogistic_SoS_threshold_EVI13,-15.61715728,73,19,12,104
-44.7142857,0.814892892,22.75695777,-2.97675196,Budburstfilterdoublelogistic_SoS_threshold_NDGI2,-20.88988455,18,49,41,108
-36.7142857,0.776612937,18.57027505,-1.632036888,Budburstfilterdoublelogistic_SoS_threshold_EVI13,-17.34443001,67,26,17,110
-42.7142857,0.796503,21.95578842,-2.365972572,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI2,-20.57170274,36,47,28,111
-45.7142857,0.851768334,25.05383396,-3.606868399,Budburstmintomaxdoublelogistic_SoS_threshold_PPI2,-23.16261183,2,57,56,115
-32.7142857,0.746523585,16.01989271,-1.215052766,Budburstfilterdoublelogistic_SoS_threshold_NDPI1,-14.57170274,90,15,11,116
-44.7142857,0.799566656,23.72143699,-2.636751414,Budburstfilterdoublelogistic_SoS_threshold_NDVI2,-22.38988455,33,51,34,118
-41.7142857,0.796828419,24.21771009,-2.707734671,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI13,-22.88988455,35,53,35,123
-26.7142857,0.688498697,9.368352284,-0.695223639,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI1,-4.208066373,120,2,7,129
-11.7142857,0.638619195,6.914811991,0.551625169,Budburstfilter_cubic_SoS_threshold_EVI1,-1.753520918,132,1,1,134
-46.7142857,0.837814522,26.52342358,-4.016944666,Budburstfilterdoublelogistic_SoS_threshold_PPI2,-24.4353391,7,66,64,137
-41.7142857,0.775844038,22.52666257,-2.181730881,Budburstmintomaxdoublelogistic_SoS_threshold_EVI2,-21.48079365,68,48,24,140
-35.7142857,0.704184785,14.60304456,-1.387398174,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI13,-11.88988455,116,14,13,143
-43.7142857,0.777371811,24.0393465,-2.406780764,Budburstfilterdoublelogistic_SoS_threshold_EVI2,-23.02624819,64,52,29,145
-32.7142857,0.661188724,16.1238226,-1.151166878,Budburstdoublelogistic_SoS_threshold_EVI13,-14.34443001,129,16,9,154
-41.7142857,0.728964555,19.54332867,-2.05909329,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI2,-17.61715728,102,30,22,154
-40.7142857,0.760039098,23.3085445,-2.274659559,Budburstfilterdoublelogistic_SoS_threshold_NDPI13,-22.25352092,81,50,27,158
-39.7142857,0.737997424,21.71764615,-1.997253066,Budburstdoublelogistic_SoS_threshold_EVI2,-20.61715728,97,44,21,162
-47.7142857,0.798509887,29.90263071,-3.534163626,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI2,-28.70806637,34,79,53,166
-52.7142857,0.802206003,30.59580546,-3.586074477,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI3,-29.48079365,29,86,55,170
-37.7142857,0.623799566,13.37308549,-2.219636982,Budburstfilter_cubic_SoS_threshold_NDVI13,-6.980793645,140,10,25,175
-54.7142857,0.812626558,31.39921817,-4.192647749,Budburstfilterdoublelogistic_SoS_threshold_NDGI3,-29.84443001,22,90,67,179
-54.7142857,0.801515808,32.44170429,-3.859396674,Budburstfilterdoublelogistic_SoS_threshold_NDVI3,-31.34443001,30,99,61,190
-56.7142857,0.851941041,33.64036723,-4.819999353,Budburstmintomaxdoublelogistic_SoS_threshold_PPI3,-32.02624819,1,106,84,191
-33.7142857,0.519096891,13.37337359,-0.566442848,Budburstfilter_cubic_SoS_threshold_EVI13,-11.4353391,179,11,5,195
-47.7142857,0.764278975,28.95526118,-3.09118736,Budburstfilterdoublelogistic_SoS_threshold_NDPI2,-28.02624819,79,74,43,196
