dif,R,RMSE,KGE,name,dif_mean,R_rank,RMSE_rank,KGE_rank,rank
-3.5,0.626295399,2.452500142,-0.200372161,Budburstdoublelogistic_SoS_threshold_EVI1,-0.010416675,7,1,2,10
-3.5,0.626295399,2.452500142,-0.200372161,Budburstmintomaxdoublelogistic_SoS_threshold_EVI1,-0.010416675,8,2,3,13
-4.5,0.559702007,2.644602734,0.205466609,Budburstfilterdoublelogistic_SoS_threshold_EVI1,-1.385416675,23,3,1,27
-11.5,0.601001824,7.510698396,-2.457418666,Budburstdoublelogistic_SoS_threshold_EVI13,-7.010416675,12,14,6,32
-11.5,0.601001824,7.510698396,-2.457418666,Budburstmintomaxdoublelogistic_SoS_threshold_EVI13,-7.010416675,13,15,7,35
-11.5,0.563911056,8.785295883,-2.781087436,Budburstfilterdoublelogistic_SoS_threshold_EVI13,-8.510416675,21,23,8,52
-7.5,0.438849036,6.496326427,-1.751118544,Budburstfilterdoublelogistic_SoS_threshold_NDVI3,-5.885416675,51,10,5,66
-16.5,0.585352448,12.76690737,-4.651360677,Budburstdoublelogistic_SoS_threshold_EVI2,-12.51041668,15,44,14,73
2.5,0.361675766,4.689767963,-1.006672148,Budburstfilterdoublelogistic_SoS_threshold_NDVI2,3.489583325,66,4,4,74
-16.5,0.613235999,12.88547983,-4.727045205,Budburstmintomaxdoublelogistic_SoS_threshold_EVI2,-12.63541668,11,48,15,74
-0.5,0.463725815,5.799979051,-6.943054415,Budburstfilterdoublelogistic_SoS_threshold_NDGI5,-1.260416675,47,6,27,80
-3.5,0.333411098,5.857168573,-3.322251304,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI3,-3.760416675,86,7,10,103
9.5,0.361503694,9.984058466,-3.369654724,Budburstfilterdoublelogistic_SoS_threshold_NDVI13,9.489583325,67,31,11,109
-3.5,0.312206593,5.745846937,-3.111184245,Budburstdoublelogistic_SoS_threshold_NDVI3,-3.635416675,96,5,9,110
-17.5,0.531911378,14.3183364,-5.26174236,Budburstfilterdoublelogistic_SoS_threshold_EVI2,-14.13541668,33,59,21,113
6.5,0.338197063,7.554949164,-4.95750665,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI2,5.614583325,79,16,19,114
0.5,0.338217794,6.05479895,-7.141059376,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI5,-0.635416675,78,9,28,115
7.5,0.412023569,8.160765296,-8.036322155,Budburstfilterdoublelogistic_SoS_threshold_NDGI4,5.489583325,56,19,40,115
-14.5,0.340809823,9.366060562,-4.305804962,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI1,-8.260416675,76,27,13,116
-13.5,0.329903653,8.231935196,-4.042802544,Budburstfilterdoublelogistic_SoS_threshold_NDPI1,-6.885416675,88,20,12,120
-12.5,0.365732503,12.07244482,-4.895464512,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI4,-11.38541668,64,39,18,121
6.5,0.319454798,7.618109358,-4.776252176,Budburstdoublelogistic_SoS_threshold_NDVI2,5.739583325,92,17,17,126
-12.5,0.34232026,11.945805,-4.76044956,Budburstdoublelogistic_SoS_threshold_NDVI4,-11.26041668,74,38,16,128
-15.5,0.423120079,13.77551295,-5.014299185,Budburstfilterdoublelogistic_SoS_threshold_NDVI4,-13.51041668,54,56,20,130
-17.5,0.384735769,14.55858019,-5.575754486,Budburstcubic_SoS_threshold_NDVI4,-14.13541668,62,61,22,145
-18.5,0.347876496,14.8497393,-5.757485031,Budburstfilter_cubic_SoS_threshold_NDVI4,-14.38541668,71,65,23,159
5.5,0.480424215,9.102092627,-11.5903518,Budburstfilter_cubic_SoS_threshold_NDGI5,5.864583325,43,24,100,167
7.5,0.454330866,9.396041198,-11.25722921,Budburstfilter_cubic_SoS_threshold_NDVI3,6.364583325,48,28,94,170
1.5,0.28458887,5.978622218,-6.648188471,Budburstdoublelogistic_SoS_threshold_NDGI5,0.114583325,138,8,25,171
13.5,0.321249252,12.78403002,-7.492508027,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI13,11.48958333,91,46,34,171
13.5,0.304518211,12.87011099,-7.307334412,Budburstdoublelogistic_SoS_threshold_NDVI13,11.61458333,100,47,33,180
8.5,0.286211315,8.408463407,-7.220642076,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI4,5.864583325,136,21,32,189
16.5,0.39743441,14.59573877,-10.35798849,Budburstfilterdoublelogistic_SoS_threshold_NDGI3,13.11458333,59,62,75,196
-22.5,0.319454797,16.06154073,-7.509337963,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI13,-15.26041668,93,74,35,202
-20.5,0.296458448,14.34305025,-6.522185306,Budburstfilterdoublelogistic_SoS_threshold_NDPI13,-13.51041668,127,60,24,211
