dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
15.9,0.625244531,18.67525316,0.768375596,Budburstmintomaxdoublelogistic_SoS_threshold_EVI1,16,3,19
13.9,0.631647023,20.01511889,0.656610035,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI13,12,7,19
20.9,0.631531164,20.77043136,0.588077932,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI1,13,13,26
13.9,0.590360772,18.10187296,0.677447737,Budburstfilter_cubic_SoS_threshold_NDPI1,26,1,27
8.9,0.628412442,21.31227541,0.494310079,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI2,14,14,28
7.9,0.595146861,18.96837285,0.741929665,Budburstfilter_cubic_SoS_threshold_NDPI13,25,4,29
14.9,0.588458813,19.22417395,0.862441297,Budburstfilterdoublelogistic_SoS_threshold_NDVI1,27,5,32
5.9,0.61393035,20.69524476,0.633966946,Budburstmintomaxdoublelogistic_SoS_threshold_EVI2,20,12,32
-6.1,0.63260326,24.1565313,0.19751322,Budburstdoublelogistic_SoS_threshold_NDVI3,11,22,33
8.9,0.582685275,20.26654105,0.765822396,Budburstfilterdoublelogistic_SoS_threshold_NDVI13,31,9,40
13.9,0.57019701,18.49621572,0.700577454,Budburstfilterdoublelogistic_SoS_threshold_EVI1,44,2,46
-9.1,0.622330962,25.46080548,0.103342865,Budburstdoublelogistic_SoS_threshold_EVI3,17,30,47
3.9,0.579706066,22.62615093,0.501237111,Budburstfilterdoublelogistic_SoS_threshold_NDVI2,32,16,48
-11.1,0.650192614,28.46829018,-0.127143223,Budburstdoublelogistic_SoS_threshold_NDVI4,4,44,48
-3.1,0.603891989,24.51626139,-0.013615117,Budburstdoublelogistic_SoS_threshold_EVI2,24,25,49
0.9,0.625473559,25.65420441,0.123619316,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI3,15,34,49
-1.1,0.61118231,25.23179946,0.243503944,Budburstmintomaxdoublelogistic_SoS_threshold_EVI3,21,29,50
-14.1,0.640162687,28.6641705,-0.039008535,Budburstdoublelogistic_SoS_threshold_EVI4,8,45,53
5.9,0.576660212,23.18220798,0.330491849,Budburstfilterdoublelogistic_SoS_threshold_NDGI13,36,18,54
4.9,0.562780857,19.60038889,0.651355102,Budburstfilter_cubic_SoS_threshold_EVI2,50,6,56
12.9,0.574009889,23.53463328,0.383105145,Budburstfilterdoublelogistic_SoS_threshold_NDGI1,39,19,58
1.9,0.578070938,24.42802292,0.167753796,Budburstfilterdoublelogistic_SoS_threshold_NDGI2,35,24,59
13.9,0.65657259,33.19075162,-1.898660529,Budburstfilterdoublelogistic_SoS_threshold_NDPI1,1,66,67
3.9,0.56034431,22.37658693,0.455974814,Budburstfilterdoublelogistic_SoS_threshold_EVI2,54,15,69
3.9,0.561668879,22.91490397,0.498915196,Budburstfilter_cubic_SoS_threshold_NDPI2,52,17,69
-16.1,0.655622988,33.30061977,-0.432202476,Budburstdoublelogistic_SoS_threshold_NDVI5,2,68,70
16.9,0.545491704,20.03429786,0.4242241,Budburstfilter_cubic_SoS_threshold_EVI1,63,8,71
-6.1,0.622075394,30.51168294,-0.201325611,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI4,18,53,71
7.9,0.545221392,20.2715239,0.736082472,Budburstfilter_cubic_SoS_threshold_NDVI13,64,10,74
-7.1,0.607208791,30.0830849,-0.079217733,Budburstmintomaxdoublelogistic_SoS_threshold_EVI4,22,52,74
-5.1,0.579503833,28.37051383,-0.176608897,Budburstfilterdoublelogistic_SoS_threshold_NDGI3,33,43,76
-18.1,0.640278463,33.34731871,-0.324717766,Budburstdoublelogistic_SoS_threshold_EVI5,7,69,76
3.9,0.540855135,20.65641719,0.891335661,Budburstfilter_cubic_SoS_threshold_NDVI2,67,11,78
6.9,0.650642456,34.45308423,-2.302407379,Budburstfilterdoublelogistic_SoS_threshold_NDPI13,3,75,78
-4.1,0.57374095,28.17940323,0.087390389,Budburstfilterdoublelogistic_SoS_threshold_NDVI3,40,42,82
11.9,0.552249576,24.55361721,0.192141221,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI2,58,26,84
-3.1,0.561725868,25.5794423,0.289309107,Budburstfilter_cubic_SoS_threshold_NDVI3,51,33,84
1.9,0.646046043,36.39027855,-2.653343838,Budburstfilterdoublelogistic_SoS_threshold_NDPI2,5,84,89
4.9,0.561532996,26.2986226,-0.017096955,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI3,53,37,90
-1.1,0.570763436,29.47896071,-0.282500026,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI4,42,49,91
16.9,0.543886833,24.91857036,0.236105476,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI13,65,28,93
-4.1,0.568491539,28.83302301,0.047923826,Budburstfilter_cubic_SoS_threshold_NDPI3,46,47,93
-11.1,0.582705186,32.68129576,-0.48302695,Budburstfilterdoublelogistic_SoS_threshold_NDGI4,30,63,93
2.9,0.505493275,24.00787737,0.520243623,Budburstfilter_cubic_SoS_threshold_PPI13,75,21,96
14.9,0.50108248,23.58374061,0.341119462,Budburstfilter_cubic_SoS_threshold_NDVI1,78,20,98
-3.1,0.553235205,27.87142444,0.094004012,Budburstfilterdoublelogistic_SoS_threshold_EVI3,57,41,98
-11.1,0.61972056,35.54270521,-0.505404383,Budburstmintomaxdoublelogistic_SoS_threshold_NDVI5,19,79,98
-12.1,0.604517688,34.91873822,-0.370545734,Budburstmintomaxdoublelogistic_SoS_threshold_EVI5,23,77,100
7.9,0.506814466,24.70578238,0.445639335,Budburstfilter_cubic_SoS_threshold_PPI1,74,27,101
-3.1,0.542505276,26.09979229,0.246240809,Budburstfilter_cubic_SoS_threshold_EVI3,66,35,101
-1.1,0.515890624,25.46363593,0.205866113,Budburstfilter_cubic_SoS_threshold_PPI2,73,31,104
22.9,0.532123012,27.06956944,0.159668535,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI1,68,38,106
-7.1,0.557486491,29.98380946,-0.261638272,Budburstfilter_cubic_SoS_threshold_PPI3,55,51,106
-6.1,0.575469949,33.38379542,-0.551698539,Budburstmintomaxdoublelogistic_SoS_threshold_NDGI5,38,70,108
-6.1,0.640299482,40.42538669,-3.19560001,Budburstfilterdoublelogistic_SoS_threshold_NDPI3,6,102,108
2.9,0.43428059,24.30660719,0.706757065,Budburstfilter_cubic_SoS_threshold_NDGI2,89,23,112
-10.1,0.570760152,33.62396021,-0.249770254,Budburstfilterdoublelogistic_SoS_threshold_NDVI4,43,71,114
-1.1,0.503974996,27.25846952,0.053127175,Budburstcubic_SoS_threshold_EVI3,76,39,115
-17.1,0.583738911,37.27668243,-0.781456529,Budburstfilterdoublelogistic_SoS_threshold_NDGI5,29,87,116
-3.1,0.468693889,26.10018691,0.366261783,Budburstfilter_cubic_SoS_threshold_NDGI3,84,36,120
-10.1,0.554353504,32.86022383,-0.188890784,Budburstfilter_cubic_SoS_threshold_NDVI4,56,64,120
-1.1,0.584952827,38.54118956,-2.64482151,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI1,28,93,121
-6.1,0.531618136,30.53948738,-0.358799051,Budburstcubic_SoS_threshold_NDVI4,69,54,123
-10.1,0.546288911,32.64306362,-0.17361862,Budburstfilter_cubic_SoS_threshold_EVI4,62,62,124
-9.1,0.548848829,33.08414536,-0.212287188,Budburstfilterdoublelogistic_SoS_threshold_EVI4,59,65,124
-13.1,0.636276362,44.62138181,-3.67918832,Budburstfilterdoublelogistic_SoS_threshold_NDPI4,9,117,126
-12.1,0.563630758,36.10708613,-0.418519614,Budburstfilter_cubic_SoS_threshold_NDPI4,49,81,130
6.9,0.401805267,25.50829613,0.505305081,Budburstfilter_cubic_SoS_threshold_NDGI13,99,32,131
-9.1,0.529020523,31.54274011,-0.316873537,Budburstcubic_SoS_threshold_EVI4,71,60,131
-9.1,0.5793252,39.97070988,-3.12303898,Budburstmintomaxdoublelogistic_SoS_threshold_NDPI13,34,100,134
-10.1,0.502840343,31.31998136,-0.103256231,Budburstfilter_cubic_SoS_threshold_NDGI4,77,58,135
7.9,0.424185077,27.61166373,0.229622403,Budburstcubic_SoS_threshold_EVI2,97,40,137
-19.1,0.632680887,48.78428284,-4.0962758,Budburstfilterdoublelogistic_SoS_threshold_NDPI5,10,130,140
-16.1,0.566275417,39.02739246,-0.557001205,Budburstfilterdoublelogistic_SoS_threshold_NDVI5,47,95,142
1.9,0.427097741,29.20753255,-0.088922432,Budburstfilterdoublelogistic_SoS_threshold_PPI1,95,48,143
15.9,0.449104798,30.73834002,-0.489006533,Budburstmintomaxdoublelogistic_SoS_threshold_PPI1,87,57,144
