dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
-8.5,0.423764802,30.06693756,0.209321209,fruit2POS_doublelogisticEVI,1,2,3
-14.5,0.392783312,29.85771978,0.293976654,fruit2POS_doublelogisticNDVI,3,1,4
-12.5,0.418040609,30.14093063,0.425554901,fruit2POS_doublelogisticNDGI,2,3,5
-25,0.267796812,41.61912794,-0.220730439,fruitPOS_doublelogisticEVI,8,10,18
-7.5,0.119030557,34.40899916,0.278745703,fruit2POS_ nonsmoothNDVI,19,5,24
-29,0.251131227,46.60123341,-0.261291207,fruitPOS_doublelogisticNDGI,10,14,24
-31,0.242911994,46.18194647,-0.34593807,fruitPOS_doublelogisticNDVI,12,13,25
-42.5,0.28005053,60.23247813,-1.181713606,flowerPOS_doublelogisticEVI,5,21,26
-10.5,0.083919021,34.05449738,0.204512682,fruit2POS_cublicNDVI,24,4,28
-48.5,0.27894544,65.39995481,-1.366265297,flowerPOS_doublelogisticNDVI,6,25,31
-14.5,0.079104595,34.65927372,0.25876885,fruit2POS_cublicNDGI,26,6,32
-46.5,0.268435057,65.66203094,-1.307740267,flowerPOS_doublelogisticNDGI,7,26,33
-20,0.087819704,44.01938104,-0.226603481,fruitPOS_ nonsmoothEVI,23,11,34
-24,0.116759078,47.33498119,-0.347471438,fruitPOS_ nonsmoothNDVI,20,15,35
9.5,0.128901581,51.78054258,0.046145992,fruit2POS_doublelogisticDVI,18,19,37
-7.5,0.050958869,35.23140438,0.190005277,fruit2POS_cublicEVI,32,7,39
-14.5,0.340080901,79.3238482,-4.601286232,fruit2POS_doublelogisticNDPI,4,35,39
-24,0.059166638,44.21958097,-0.263571757,fruitPOS_cublicEVI,30,12,42
-10.5,0.226034796,73.83836294,-2.958346686,fruit2POS_cublicNDPI,13,32,45
-31,0.260753064,81.87642865,-5.852014393,fruitPOS_doublelogisticNDPI,9,36,45
-3.5,0.033009363,36.05812007,0.222785842,fruit2POS_ nonsmoothEVI,38,8,46
-31,0.053161743,49.11096954,-0.414557326,fruitPOS_cublicNDGI,31,17,48
-46.5,0.079328136,63.37147922,-1.013321552,fruit2POS_ nonsmoothDVI,25,24,49
-41.5,0.10493733,66.35442767,-1.364244694,flowerPOS_ nonsmoothNDVI,21,28,49
-37.5,0.060492055,62.20575313,-1.195105801,flowerPOS_ nonsmoothEVI,29,22,51
-24,0.044524187,49.32161707,-0.371442082,fruitPOS_ nonsmoothNDGI,34,18,52
-48.5,0.249937317,90.30476484,-8.324966067,flowerPOS_doublelogisticNDPI,11,41,52
-7.5,0.003221793,36.49992955,0.308668147,fruit2POS_ nonsmoothNDGI,44,9,53
-52.5,0.045067263,53.66311192,0.161532664,fruit2POS_cublicDVI,33,20,53
-27,0.037138524,47.38688033,-0.390136876,fruitPOS_cublicNDVI,37,16,53
-44.5,0.146290519,82.4126191,-5.823275176,flowerPOS_cublicNDPI,17,37,54
-24,0.207431449,88.5931796,-7.195998293,fruitPOS_ nonsmoothNDPI,14,40,54
-27,0.099915012,76.04067113,-3.906542588,fruitPOS_cublicNDPI,22,34,56
-7.5,0.19668255,91.57178849,-5.665144098,fruit2POS_ nonsmoothNDPI,15,42,57
-7,0.068476513,68.81902264,-0.967083728,fruitPOS_doublelogisticDVI,28,31,59
-41.5,0.040307079,62.41311285,-1.2268872,flowerPOS_cublicEVI,36,23,59
-41.5,0.192734236,94.11004311,-10.03114145,flowerPOS_ nonsmoothNDPI,16,44,60
-48.5,0.043679264,68.22127404,-1.441402504,flowerPOS_cublicNDGI,35,29,64
-44.5,0.024033662,66.28120529,-1.390962313,flowerPOS_cublicNDVI,39,27,66
-24.5,0.07036506,86.38609223,-2.315265456,flowerPOS_doublelogisticDVI,27,39,66
-41.5,0.017914204,68.31111683,-1.404910469,flowerPOS_ nonsmoothNDGI,40,30,70
-69,-0.020762641,74.78489335,-1.058254351,fruitPOS_cublicDVI,45,33,78
-63,0.011154537,82.81852344,-2.288033125,fruitPOS_ nonsmoothDVI,42,38,80
-86.5,0.006666094,93.22697032,-2.409816602,flowerPOS_cublicDVI,43,43,86
-80.5,0.013007935,99.38617723,-3.91767817,flowerPOS_ nonsmoothDVI,41,45,86
dif,R,RMSE,KGE,name,,,
