dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
-8.5,0.701728002,12.97325232,-0.302399711,Budburst_filtercubic_SoS_threshold_EVI13,2,2,4
-3.5,0.703173205,14.11463043,-0.786391652,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI1,1,3,4
20.5,0.696466042,11.96105292,-0.022768848,Budburst_filtercubic_SoS_threshold_EVI1,4,1,5
-19.5,0.699898821,16.88793778,-1.153764815,Budburst_filtercubic_SoS_threshold_EVI2,3,7,10
-11.5,0.696275672,16.79411884,-1.397146604,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI13,5,6,11
-20.5,0.662218481,14.14441917,-0.48974575,Budburst_filtercubic_SoS_threshold_NDPI1,17,4,21
-16.5,0.690009523,20.26601444,-2.214161247,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI2,6,18,24
-23.5,0.667019641,18.0187692,-1.394017806,Budburst_filtercubic_SoS_threshold_NDPI13,16,11,27
-13.5,0.63525324,19.42704044,-2.348693548,Budburst_SoS_filterthreshold_EVI2,25,14,39
-4.5,0.597754369,16.53260925,-1.187668786,Budburst_SoS_filterdoublelogisticthreshold_EVI1,44,5,49
19.5,0.604249181,18.31931851,-1.905685046,Budburst_SoS_filterthreshold_EVI13,38,12,50
-26.5,0.648481326,23.33258209,-2.846365559,Budburst_filtercubic_SoS_threshold_NDPI2,23,27,50
-24.5,0.685499166,26.51495923,-3.984251016,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI3,8,42,50
-28.5,0.679104093,26.45964839,-3.792151315,Budburst_filtercubic_SoS_threshold_EVI3,11,40,51
-24.5,0.677608699,26.6892971,-4.598092145,Budburst_SoS_filterthreshold_EVI3,12,44,56
-11.5,0.625822908,23.16150535,-4.07314983,Budburst_SoS_doublelogisticthreshold_EVI13,31,26,57
-16.5,0.645681702,24.04805495,-4.176935893,Budburst_SoS_doublelogisticthreshold_EVI2,24,33,57
-25.5,0.651207919,26.22043963,-5.131300552,Budburst_cubic_SoS_threshold_EVI3,21,38,59
-25.5,0.651534875,26.49094771,-5.117980538,Budburst_mintomaxcubic_SoS_threshold_EVI3,20,41,61
-11.5,0.59407581,19.91575175,-2.026556818,Budburst_SoS_filterdoublelogisticthreshold_EVI13,47,17,64
