dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
5.51666667,0.723080393,11.4122704,0.132441289,Budburst_filtercubic_SoS_threshold_EVI1,1,1,2
-1.48333333,0.722745083,13.04597401,-0.235591116,Budburst_filtercubic_SoS_threshold_EVI13,2,2,4
4.51666667,0.703244119,14.57900835,-0.790119778,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI1,4,4,8
-6.48333333,0.707903571,17.27623397,-1.115059329,Budburst_filtercubic_SoS_threshold_EVI2,3,8,11
-1.48333333,0.696298985,17.25118095,-1.384492338,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI13,5,7,12
2.51666667,0.667316735,14.05834258,-0.374987346,Budburst_filtercubic_SoS_threshold_NDPI1,17,3,20
-5.48333333,0.689876067,20.67814138,-2.165020221,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI2,6,20,26
-3.48333333,0.668831873,18.01536972,-1.262782211,Budburst_filtercubic_SoS_threshold_NDPI13,16,11,27
-5.48333333,0.643249075,19.85128826,-2.281137442,Budburst_SoS_filterthreshold_EVI2,25,15,40
3.51666667,0.617891588,18.38160235,-1.779977234,Budburst_SoS_filterthreshold_EVI13,33,12,45
-7.48333333,0.649191061,23.49907908,-2.690986546,Budburst_filtercubic_SoS_threshold_NDPI2,22,27,49
-14.48333333,0.679011655,26.71019324,-3.615482321,Budburst_filtercubic_SoS_threshold_EVI3,11,39,50
-12.48333333,0.685368182,26.85006075,-3.838456312,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI3,8,42,50
-13.48333333,0.677311105,27.01027675,-4.455915806,Budburst_SoS_filterthreshold_EVI3,12,43,55
2.51666667,0.598159725,17.07908014,-1.193738745,Budburst_SoS_filterdoublelogisticthreshold_EVI1,50,6,56
-5.48333333,0.645087367,24.6363829,-4.137721647,Budburst_SoS_doublelogisticthreshold_EVI2,24,35,59
-12.48333333,0.651502716,26.51831436,-4.973704302,Budburst_cubic_SoS_threshold_EVI3,21,38,59
-12.48333333,0.651559346,26.79703413,-4.964407752,Budburst_mintomaxcubic_SoS_threshold_EVI3,20,41,61
-12.48333333,0.669497813,27.4866562,-4.390422206,Budburst_SoS_doublelogisticthreshold_EVI3,15,46,61
-1.48333333,0.625089166,23.86549526,-4.062288771,Budburst_SoS_doublelogisticthreshold_EVI13,31,31,62
9.51666667,0.596135672,18.47265371,-1.730278702,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI1,51,13,64
2.51666667,0.600661764,20.18034526,-2.220421258,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI13,48,16,64
-3.48333333,0.61591999,24.39665186,-4.264907988,Budburst_mintomaxcubic_SoS_threshold_EVI2,36,33,69
-3.48333333,0.59441717,20.46139287,-2.009440732,Budburst_SoS_filterdoublelogisticthreshold_EVI13,53,17,70
-2.48333333,0.601470991,22.99622946,-2.944428198,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI2,45,25,70
-18.48333333,0.688265667,31.87306713,-5.53379424,Budburst_SoS_doublelogisticthreshold_EVI4,7,64,71
3.51666667,0.565879144,17.3057603,-1.160967102,Budburst_SoS_filterdoublelogisticthreshold_NDVI1,70,9,79
-18.48333333,0.681013275,32.49228508,-5.714939244,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI4,10,71,81
3.51666667,0.616781548,27.87275968,-5.310117387,Budburst_mintomaxcubic_SoS_threshold_EVI13,35,50,85
-20.48333333,0.651715423,32.25409349,-6.678359044,Budburst_cubic_SoS_threshold_EVI4,19,68,87
-7.48333333,0.591061904,23.98694965,-2.927778059,Budburst_SoS_filterdoublelogisticthreshold_EVI2,56,32,88
-15.48333333,0.634711885,31.33858607,-5.205677584,Budburst_filtercubic_SoS_threshold_NDPI3,26,62,88
-14.48333333,0.605043275,27.45234068,-3.915350806,Budburst_filtercubic_SoS_threshold_NDVI3,44,45,89
-3.48333333,0.529246951,17.07695656,-1.017858575,Budburst_filtercubic_SoS_threshold_NDVI13,87,5,92
-2.48333333,0.565590456,20.81955015,-2.01205779,Budburst_SoS_filterdoublelogisticthreshold_NDVI13,71,21,92
-7.48333333,0.550552084,19.74542624,-1.745399478,Budburst_filtercubic_SoS_threshold_NDVI2,80,14,94
-10.48333333,0.605570863,28.85857095,-4.647645512,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI3,42,53,95
-20.48333333,0.6483231,32.92319692,-6.918987653,Budburst_mintomaxcubic_SoS_threshold_EVI4,23,74,97
-19.48333333,0.672967738,34.28785553,-6.979078515,Budburst_SoS_filterthreshold_EVI4,14,83,97
8.51666667,0.556175862,20.64074736,-1.984744003,Budburst_SoS_filterthreshold_EVI1,79,19,98
-10.48333333,0.593863858,27.61195222,-4.364299982,Budburst_SoS_doublelogisticthreshold_NDVI3,54,49,103
-17.48333333,0.60111932,30.64139475,-6.180109788,Budburst_cubic_SoS_threshold_NDVI4,46,59,105
-7.48333333,0.563688715,24.52000542,-2.986405655,Budburst_SoS_filterdoublelogisticthreshold_NDVI2,72,34,106
-21.48333333,0.653212972,34.73236754,-6.389963396,Budburst_filtercubic_SoS_threshold_EVI4,18,88,106
-23.48333333,0.681303912,37.27858216,-7.600356203,Budburst_SoS_doublelogisticthreshold_EVI5,9,98,107
2.51666667,0.629344248,33.83837663,-9.422793538,Budburst_SoS_filterdoublelogisticthreshold_NDPI1,29,81,110
3.51666667,0.470930515,17.57777783,-0.952808256,Budburst_filtercubic_SoS_threshold_NDVI1,105,10,115
-17.48333333,0.607289029,33.24313926,-6.17577768,Budburst_SoS_doublelogisticthreshold_NDVI4,40,75,115
-14.48333333,0.585384503,30.45330523,-4.926223024,Budburst_SoS_filterdoublelogisticthreshold_EVI3,59,58,117
-23.48333333,0.675679776,37.82491225,-7.807156171,Budburst_mintomaxdoublelogistic_SoS_threshold_EVI5,13,104,117
1.51666667,0.50789241,23.3385094,-3.338785216,Budburst_SoS_filterdoublelogisticthreshold_NDGI1,94,26,120
-17.48333333,0.606114707,34.4065348,-6.589273076,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI4,41,85,126
-4.48333333,0.622706193,36.36372274,-10.81579982,Budburst_SoS_filterdoublelogisticthreshold_NDPI13,32,95,127
-5.48333333,0.516378464,24.86836281,-3.928999292,Budburst_SoS_filterdoublelogisticthreshold_NDGI13,91,37,128
-3.48333333,0.56198763,29.42377643,-6.324144241,Budburst_cubic_SoS_threshold_EVI2,73,55,128
-17.48333333,0.588871399,32.88840147,-7.033820547,Budburst_mintomaxcubic_SoS_threshold_NDVI4,57,72,129
-14.48333333,0.538930874,27.57903837,-4.761414842,Budburst_SoS_filterthreshold_NDVI3,82,48,130
5.51666667,0.472336589,23.64573993,-3.346630503,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI13,104,28,132
-16.48333333,0.600438253,34.39682199,-7.071680916,Budburst_SoS_filterthreshold_NDVI4,49,84,133
-9.48333333,0.522814739,27.26285182,-4.705942516,Budburst_SoS_filterdoublelogisticthreshold_NDGI2,90,44,134
-15.48333333,0.56184702,31.32848345,-5.14919691,Budburst_SoS_filterdoublelogisticthreshold_NDVI3,75,61,136
-27.48333333,0.634335611,38.89868509,-8.793215354,Budburst_cubic_SoS_threshold_EVI5,27,109,136
11.51666667,0.451402788,23.80640589,-3.194544335,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI1,108,29,137
0.51666667,0.487711428,24.8387626,-3.76159345,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI2,101,36,137
-8.48333333,0.400895545,21.55598221,-2.254424408,Budburst_filtercubic_SoS_threshold_NDGI2,120,23,143
-9.48333333,0.617672075,39.05398691,-12.15868104,Budburst_SoS_filterdoublelogisticthreshold_NDPI2,34,110,144
-27.48333333,0.626263723,39.56634898,-9.065756428,Budburst_mintomaxcubic_SoS_threshold_EVI5,30,114,144
-22.48333333,0.609916247,38.82033585,-8.390413755,Budburst_SoS_doublelogisticthreshold_NDVI5,38,108,146
-4.48333333,0.372566617,20.46858231,-1.750122982,Budburst_filtercubic_SoS_threshold_NDGI13,129,18,147
-14.48333333,0.458558917,26.78344239,-3.968282948,Budburst_filtercubic_SoS_threshold_NDGI3,107,40,147
-6.48333333,0.50703196,28.59472348,-4.918901793,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI3,95,52,147
10.51666667,0.572766483,33.97065987,-6.921998468,Budburst_mintomaxcubic_SoS_threshold_EVI1,66,82,148
-21.48333333,0.588187174,35.95999707,-6.932427558,Budburst_filtercubic_SoS_threshold_NDVI4,58,91,149
-9.48333333,0.501786471,29.73574409,-6.227990179,Budburst_mintomaxcubic_SoS_threshold_NDVI3,97,56,153
-20.48333333,0.581682334,36.08951179,-7.030359875,Budburst_SoS_filterdoublelogisticthreshold_EVI4,61,92,153
-22.48333333,0.607943758,39.77036927,-8.79065257,Budburst_mintomaxdoublelogistic_SoS_threshold_NDVI5,39,115,154
-16.48333333,0.530373359,32.34999861,-6.423730842,Budburst_SoS_filterdoublelogisticthreshold_NDGI3,86,69,155
-3.48333333,0.362683813,21.87924075,-2.217585512,Budburst_filtercubic_SoS_threshold_DVI1,134,24,158
-25.48333333,0.593111785,37.95410432,-8.669724029,Budburst_cubic_SoS_threshold_NDVI5,55,105,160
-31.48333333,0.633710344,42.32220398,-10.07032502,Budburst_SoS_filterthreshold_EVI5,28,133,161
-8.48333333,0.364164176,23.81706908,-3.049772901,Budburst_filtercubic_SoS_threshold_DVI13,132,30,162
-12.48333333,0.523415184,32.91295397,-6.391949734,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI4,89,73,162
2.51666667,0.333523508,21.50185679,-1.84924175,Budburst_filtercubic_SoS_threshold_NDGI1,141,22,163
-9.48333333,0.476178458,31.88334037,-7.45142275,Budburst_cubic_SoS_threshold_NDVI3,102,65,167
-13.48333333,0.502611492,33.27441856,-7.811195738,Budburst_SoS_filterthreshold_NDPI3,96,76,172
-21.48333333,0.509650512,33.83656211,-6.343134659,Budburst_filtercubic_SoS_threshold_NDGI4,93,80,173
-12.48333333,0.37733637,27.50050972,-4.414306107,Budburst_filtercubic_SoS_threshold_DVI2,128,47,175
-21.48333333,0.561281137,37.35713799,-7.473255372,Budburst_SoS_filterdoublelogisticthreshold_NDVI4,76,99,175
4.51666667,0.448330099,31.93867356,-7.012202496,Budburst_SoS_doublelogisticthreshold_EVI1,110,66,176
-17.48333333,0.610595369,44.04264537,-14.63531277,Budburst_SoS_filterdoublelogisticthreshold_NDPI3,37,141,178
-23.48333333,0.581913726,39.97341855,-8.690584538,Budburst_filtercubic_SoS_threshold_NDPI4,60,119,179
-22.48333333,0.537215966,37.20958281,-8.282626931,Budburst_SoS_filterdoublelogisticthreshold_NDGI4,83,97,180
-2.48333333,0.388375342,30.98611843,-6.489231548,Budburst_SoS_doublelogisticthreshold_NDVI2,124,60,184
-17.48333333,0.535524062,37.46689328,-8.150772881,Budburst_mintomaxdoublelogistic_SoS_threshold_NDGI5,84,101,185
-25.48333333,0.572388134,40.24255565,-9.730319028,Budburst_mintomaxcubic_SoS_threshold_NDVI5,67,120,187
-31.48333333,0.594703457,42.76253715,-10.50371861,Budburst_SoS_filterthreshold_NDVI5,52,135,187
-25.48333333,0.579464706,41.38416024,-9.320848882,Budburst_SoS_filterdoublelogisticthreshold_EVI5,63,126,189
3.51666667,0.528626169,37.69878568,-9.689289233,Budburst_cubic_SoS_threshold_EVI13,88,102,190
2.51666667,0.399272492,32.3635812,-6.846490473,Budburst_mintomaxcubic_SoS_threshold_NDVI2,122,70,192
-12.48333333,0.579744534,42.2371955,-14.56810472,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI1,62,132,194
-7.48333333,0.316121599,28.33264714,-4.879887611,Budburst_SoS_filterthreshold_NDVI2,144,51,195
-7.48333333,0.397110696,33.2770351,-7.779333259,Budburst_SoS_filterthreshold_NDPI2,123,77,200
-18.48333333,0.428320276,34.69301015,-6.983301104,Budburst_filtercubic_SoS_threshold_DVI3,114,87,201
-24.48333333,0.605385843,48.76883823,-17.13723861,Budburst_SoS_filterdoublelogisticthreshold_NDPI4,43,158,201
3.51666667,0.297279702,28.88890087,-4.668027108,Budburst_SoS_filterthreshold_NDVI13,148,54,202
-28.48333333,0.578121684,43.61645367,-10.20832755,Budburst_filtercubic_SoS_threshold_EVI5,64,139,203
-20.48333333,0.573769111,44.39468994,-16.33827187,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI13,65,142,207
-28.48333333,0.540309195,42.082544,-10.40749565,Budburst_SoS_filterdoublelogisticthreshold_NDGI5,81,131,212
4.51666667,0.295856559,31.50294589,-6.250987284,Budburst_mintomaxdoublelogistic_SoS_threshold_DVI1,151,63,214
-27.48333333,0.559460103,43.07537146,-10.05171789,Budburst_SoS_filterdoublelogisticthreshold_NDVI5,77,137,214
-9.48333333,0.281375153,30.12284529,-5.367274609,Budburst_SoS_filterdoublelogisticthreshold_DVI1,158,57,215
-30.48333333,0.600867269,53.31073014,-19.69647809,Budburst_SoS_filterdoublelogisticthreshold_NDPI5,47,168,215
2.51666667,0.381786417,34.98534188,-8.698608548,Budburst_SoS_doublelogisticthreshold_NDVI13,127,89,216
-24.48333333,0.49971487,39.95699439,-10.76642534,Budburst_SoS_filterthreshold_NDPI4,98,118,216
-26.48333333,0.570329256,46.63711156,-17.94883193,Budburst_mintomaxdoublelogistic_SoS_threshold_NDPI2,68,152,220
