R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
0.67112806,14.6014356,0.019055353,plantbudfilter_cubic_SoS_threshold_EVI13,31,2,3,36
0.649033387,13.63861763,0.344858896,plantbudfilter_cubic_SoS_threshold_EVI1,39,1,1,41
0.7463501,18.22824742,-1.610513982,plantbudmintomaxdoublelogistic_SoS_threshold_NDVI1,1,7,40,48
0.669444038,16.39839825,-0.407904449,plantbudfilter_cubic_SoS_threshold_NDVI13,33,5,11,49
0.739035123,16.47786972,-1.051984581,plantbudmintomaxdoublelogistic_SoS_threshold_EVI1,13,6,30,49
0.669569593,18.41099261,-0.534195502,plantbudfilter_cubic_SoS_threshold_EVI2,32,9,14,55
0.613476223,14.93163206,0.115970726,plantbudfilter_cubic_SoS_threshold_NDVI1,51,3,2,56
0.618606456,16.1642848,-0.048373159,plantbudfilter_cubic_SoS_threshold_NDPI1,48,4,5,57
0.738984535,18.96892011,-1.480807372,plantbudmintomaxdoublelogistic_SoS_threshold_EVI13,14,13,36,63
0.630051949,20.2813359,-0.673505239,plantbudfilter_cubic_SoS_threshold_NDPI13,44,15,17,76
0.668886723,20.6041248,-1.003238282,plantbudfilter_cubic_SoS_threshold_NDVI2,34,17,27,78
0.745761485,21.48336504,-2.13142049,plantbudmintomaxdoublelogistic_SoS_threshold_NDVI13,4,18,56,78
0.736913718,22.1223746,-1.870884272,plantbudmintomaxdoublelogistic_SoS_threshold_EVI2,16,21,48,85
0.702216445,20.26412141,-2.020005611,plantbudmintomaxdoublelogistic_SoS_threshold_NDGI1,24,14,51,89
0.586146691,18.47966256,-0.76946872,plantbudfilter_cubic_SoS_threshold_PPI1,63,10,20,93
0.518963149,18.2308257,-0.412463706,plantbudfilter_cubic_SoS_threshold_NDGI13,83,8,12,103
0.505548624,18.92073401,-0.119091732,plantbudfilterdoublelogistic_SoS_threshold_EVI1,86,12,7,105
0.556115981,20.58637008,-1.031129496,plantbudfilter_cubic_SoS_threshold_NDGI2,69,16,28,113
0.619820496,25.80902406,-1.40273629,plantbudfilter_cubic_SoS_threshold_NDPI2,47,34,35,116
0.745216553,24.90362676,-2.573225682,plantbudmintomaxdoublelogistic_SoS_threshold_NDVI2,5,32,79,116
0.704693574,22.07486509,-2.55481148,plantbudmintomaxdoublelogistic_SoS_threshold_NDGI13,23,20,75,118
0.58713174,22.97446047,-1.598492627,plantbudfilter_cubic_SoS_threshold_PPI13,62,22,39,123
0.447544854,18.61140038,-0.022835637,plantbudfilter_cubic_SoS_threshold_NDGI1,113,11,4,128
0.663973646,27.74934116,-1.675390984,plantbudfilter_cubic_SoS_threshold_EVI3,38,47,43,128
