Year,Group,Mean,Std
2001,Group1,117.34395,26.736565
2001,Group2,126.367455,29.719437
2001,Group3,128.1632,29.519762
2002,Group1,119.89381,25.739386
2002,Group2,121.9036,25.725925
2002,Group3,121.920525,26.522081
2003,Group1,120.737114,27.822409
2003,Group2,117.20652,26.830086
2003,Group3,120.84197,26.552353
2004,Group1,118.57005,25.704975
2004,Group2,120.76456,26.283318
2004,Group3,118.31814,28.676552
2005,Group1,118.154434,24.851212
2005,Group2,117.201744,25.391888
2005,Group3,117.288574,27.326553
2006,Group1,123.58736,25.744688
2006,Group2,121.195,25.807478
2006,Group3,116.64725,25.759459
2007,Group1,116.02178,23.910332
2007,Group2,112.38284,26.520176
2007,Group3,113.89787,27.340046
2008,Group1,123.88401,25.532162
2008,Group2,119.54906,23.200762
2008,Group3,118.934616,23.700438
2009,Group1,113.092964,23.151188
2009,Group2,114.81316,22.872734
2009,Group3,114.87837,24.835781
2010,Group1,111.640144,21.506344
2010,Group2,120.50943,24.953138
2010,Group3,120.12002,27.306892
2011,Group1,111.75476,22.282665
2011,Group2,117.62274,23.563038
2011,Group3,117.68485,25.033127
2012,Group1,115.85698,24.596933
2012,Group2,115.30304,24.5869
2012,Group3,119.52742,25.414022
2013,Group1,111.99738,19.114805
2013,Group2,117.64727,22.052843
2013,Group3,117.19157,24.071524
2014,Group1,113.267586,23.698563
2014,Group2,116.75385,24.09806
2014,Group3,121.42806,26.491913
2015,Group1,112.20801,23.327702
2015,Group2,115.66627,21.45101
2015,Group3,116.36951,24.432114
2016,Group1,115.952736,25.76095
2016,Group2,116.18921,25.941154
2016,Group3,116.74096,26.94632
2017,Group1,114.20516,25.989307
2017,Group2,113.55964,26.017359
2017,Group3,115.67519,28.293337
2018,Group1,108.99973,24.077084
2018,Group2,119.590515,26.152409
2018,Group3,119.98588,27.154266
2019,Group1,124.73348,22.597364
2019,Group2,113.26493,22.885084
2019,Group3,113.87852,25.602154
2020,Group1,111.48514,25.66764
2020,Group2,116.797005,25.070631
2020,Group3,117.43054,24.623371
2021,Group1,120.31415,23.031538
2021,Group2,117.91903,23.65195
2021,Group3,118.44125,24.867353
2022,Group1,112.2184,23.80095
2022,Group2,114.05717,24.763748
2022,Group3,116.4279,28.252268
