Year,Mean EVI,Std EVI,Trend Slope,Intercept,R-value,P-value,Standard Error,Trend Significance
2001,125.3711,29.38938,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2002,121.54995,26.016394,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2003,119.08845,26.975689,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2004,119.53057,27.056875,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2005,117.40195,25.982594,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2006,120.0586,25.912186,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2007,113.55484,26.396055,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2008,120.11314,23.871134,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2009,114.52787,23.624506,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2010,118.78919,25.44582,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2011,116.59451,23.966507,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2012,116.855194,24.952213,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2013,116.47998,22.386135,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2014,117.7381,25.053495,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2015,115.289536,22.899614,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2016,116.33669,26.2613,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2017,114.40277,26.83398,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2018,117.83217,26.470682,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2019,115.52732,24.1917,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2020,116.064835,25.118887,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2021,118.52709,23.984747,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
2022,114.54371,25.899748,-0.2553502604626183,631.1905843819825,-0.6037342727542333,0.0029285294906432626,0.07539367932767028,The trend is statistically significant.
