dif,R,RMSE,KGE,name,
-39.86666667,0.019751148,78.26021702,-5.561337916,budcubic_SoS_threshold_EVTNDGI,1
-40.86666667,-0.002983912,62.54681099,-2.29672488,budcubic_SoS_threshold_EVTEVI,2
-39.86666667,0.070899351,102.5441823,-5.846207948,budcubic_SoS_threshold_EVTNDPI,3
-39.86666667,-0.055818082,66.87980842,-3.77211659,budcubic_SoS_threshold_EVTNDVI,4
-25.86666667,-0.211949196,91.15113793,-5.730548979,budcubic_SoS_threshold_EVTPPI,5
20.13333333,-0.206891218,53.38429297,-4.124004198,budfiltercubic_SoS_threshold_EVTNDGI,6
19.13333333,-0.066357383,36.66659723,-2.048285865,budfiltercubic_SoS_threshold_EVTEVI,7
19.13333333,-0.135383672,35.13651344,-1.74545509,budfiltercubic_SoS_threshold_EVTNDPI,8
20.13333333,-0.20043186,44.62402778,-2.894061291,budfiltercubic_SoS_threshold_EVTNDVI,9
33.13333333,-0.282122018,55.97987791,-3.928363394,budfiltercubic_SoS_threshold_EVTPPI,10
-39.86666667,-0.048091896,64.41143714,-4.311384973,budmintomax_cubic_SoS_threshold_EVTNDGI,11
-40.86666667,-0.002983912,62.54681099,-2.29672488,budmintomax_cubic_SoS_threshold_EVTEVI,12
-39.86666667,0.053020321,72.9101621,-4.350790602,budmintomax_cubic_SoS_threshold_EVTNDPI,13
-39.86666667,-0.055818082,66.87980842,-3.77211659,budmintomax_cubic_SoS_threshold_EVTNDVI,14
-25.86666667,-0.290468949,82.00154716,-5.033685368,budmintomax_cubic_SoS_threshold_EVTPPI,15
