dif,R,RMSE,KGE,name,R_rank,RMSE_rank,KGE_rank,rank
-5,0.619130546,15.81988559,-3.023969053,budfilterSoS_threshold_EVI1,1,1,6,8
-21,0.594010106,19.24587712,-3.594654785,budfilterSoS_threshold_EVI13,2,5,12,19
7,0.462138644,16.04097324,-2.02776659,budfiltercubic_SoS_threshold_EVI1,19,2,1,22
-41,0.549230814,24.04451253,-3.523387206,budfilterSoS_threshold_EVI2,4,20,11,35
3,0.4219531,20.44801153,-2.950665574,budfiltercubic_SoS_threshold_EVI13,23,8,5,36
-21,0.524684556,22.61254839,-4.259814385,budfilterSoS_threshold_NDVI13,7,15,25,47
-7,0.51294777,20.06777115,-5.044290633,budfilterSoS_threshold_NDVI1,9,7,36,52
-21,0.401024032,21.33098371,-4.693561923,budmintomaxSoS_threshold_EVI13,30,9,29,68
0,0.411630675,25.55555626,-4.139026273,budfiltercubic_SoS_threshold_EVI2,28,26,21,75
-5,0.419245483,21.52106092,-5.365932811,budmintomaxSoS_threshold_EVI1,25,10,42,77
-12,0.345222155,22.20468595,-3.068423536,budfiltercubic_SoS_threshold_NDPI1,59,14,7,80
-41,0.520752114,32.09137787,-3.709249419,budmintomaxSoS_threshold_EVI3,8,59,15,82
-41,0.579617699,33.36624412,-3.781910993,budfilterSoS_threshold_EVI3,3,63,16,82
6,0.311640711,18.80083435,-2.653962627,budfiltercubic_SoS_threshold_NDVI1,80,4,3,87
-41,0.482479225,27.62846363,-4.988996583,budfilterSoS_threshold_NDVI2,15,37,35,87
-41,0.434433793,24.98266204,-5.373295296,budmintomaxSoS_threshold_EVI2,20,24,43,87
-41,0.473286487,31.56820547,-4.221492223,budSoS_threshold_EVI3,16,58,23,97
7,0.297630509,18.29150749,-2.713368204,budfiltercubic_SoS_threshold_NDGI1,94,3,4,101
-26.5,0.321569002,21.81977303,-3.844031798,budcubic_SoS_threshold_EVI3,75,12,17,104
9,0.362055939,23.39957082,-5.528436188,budmintomaxdoublelogistic_SoS_threshold_EVI1,41,17,46,104
3,0.327614315,23.41484105,-3.967014942,budfiltercubic_SoS_threshold_NDVI13,73,18,19,110
-7,0.300072659,20.03778803,-3.633432758,budmintomaxSoS_threshold_NDVI1,92,6,13,111
-41,0.498149765,26.76565534,-7.385550149,budfilterSoS_threshold_NDGI2,11,30,72,113
-35.5,0.337616799,28.68017663,-3.1027453,budcubic_SoS_threshold_EVI4,66,42,8,116
-17,0.33914982,27.5713072,-4.407392183,budfiltercubic_SoS_threshold_NDPI13,65,35,27,127
-21,0.302286413,23.71734877,-4.287424298,budmintomaxSoS_threshold_NDVI13,88,19,26,133
-15.5,0.290138109,21.64022067,-4.207352424,budcubic_SoS_threshold_EVI2,104,11,22,137
4,0.360702532,27.33907207,-6.566033554,budmintomaxdoublelogistic_SoS_threshold_EVI13,46,34,62,142
-44.5,0.366065563,38.3826008,-3.644385948,budcubic_SoS_threshold_EVI5,35,94,14,143
0,0.342561191,28.46968123,-5.267900456,budfiltercubic_SoS_threshold_NDVI2,62,40,41,143
-4,0.301182361,22.65966446,-5.124132636,budmintomaxSoS_threshold_NDGI1,90,16,38,144
-41,0.34371948,24.75568185,-6.735680497,budmintomaxSoS_threshold_NDGI13,61,23,64,148
-5,0.428116937,35.58857982,-6.545015959,budfiltercubic_SoS_threshold_EVI3,21,79,61,161
3.5,0.285631029,25.77441126,-4.538591294,budcubic_SoS_threshold_EVI13,109,27,28,164
-21,0.357185796,33.39164394,-5.989787177,budfiltercubic_SoS_threshold_NDPI2,49,64,53,166
3,0.235064588,22.11349022,-3.976738622,budfiltercubic_SoS_threshold_NDGI13,135,13,20,168
1,0.361345365,31.00988943,-7.43161957,budmintomaxdoublelogistic_SoS_threshold_EVI2,43,52,73,168
-43,0.470740982,35.77751833,-7.433514838,budfilterSoS_threshold_NDGI3,17,80,74,171
-41,0.347300543,27.5882407,-7.622012454,budmintomaxSoS_threshold_NDGI2,58,36,77,171
-44,0.494023443,43.05231297,-4.962226413,budSoS_threshold_EVI4,12,127,34,173
-44,0.526201247,44.54965171,-4.879982023,budmintomaxSoS_threshold_EVI4,6,138,33,177
-42,0.408916706,39.24427781,-6.106691805,budfilterSoS_threshold_NDVI3,29,101,56,186
-4,0.342313858,29.9938905,-7.737467223,budfilterSoS_threshold_NDGI1,63,45,79,187
-44,0.532352963,45.98072598,-5.067378781,budfilterSoS_threshold_EVI4,5,146,37,188
-41,0.344147099,27.1507945,-9.064195072,budfilterSoS_threshold_NDGI13,60,33,96,189
-5,0.367436313,38.26204101,-7.438547185,budfiltercubic_SoS_threshold_NDVI3,34,92,75,201
