dif,R,RMSE,KGE,name,R_rank,RMSE_rank,all_rank
22.6666667,0.470303602,18.49976134,-0.635143737,leaffiltercubic_SoS_threshold_EVI1,4,5,9
15.6666667,0.444448322,16.54206584,-0.64641699,leaffiltercubic_SoS_threshold_EVI13,8,1,9
10.6666667,0.412338966,17.26193469,-1.023138806,leaffiltercubic_SoS_threshold_EVI2,11,2,13
19.6666667,0.36968648,17.68200836,-0.80346421,leaffiltercubic_SoS_threshold_NDPI1,18,3,21
1.6666667,0.402332753,20.56222338,-1.620607473,leaffilterSoS_threshold_EVI1,14,8,22
0.6666667,0.364742703,19.06714024,-1.466317672,leaffilterSoS_threshold_EVI13,20,7,27
-6.3333333,0.349348801,18.37755251,-1.037663159,leaffilterSoS_threshold_EVI2,24,4,28
13.6666667,0.31870636,18.92977971,-1.262445212,leaffiltercubic_SoS_threshold_NDPI13,29,6,35
15.6666667,0.321883677,21.2037466,-2.143472969,leafmintomaxdoublelogistic_SoS_threshold_EVI13,28,10,38
-27.3333333,0.338246335,21.88703833,-0.941638819,leaffilterSoS_threshold_EVI3,25,17,42
2.6666667,0.358987234,22.62250168,-2.129825086,leaffiltercubic_SoS_threshold_EVI3,21,23,44
21.6666667,0.326598743,22.0858986,-1.834661948,leafmintomaxdoublelogistic_SoS_threshold_EVI1,27,21,48
11.6666667,0.315795794,21.94448903,-2.501050467,leafmintomaxdoublelogistic_SoS_threshold_EVI2,30,20,50
0.6666667,0.311443904,21.94192405,-2.259818607,leafmintomaxSoS_threshold_EVI13,33,19,52
-27.3333333,0.301193406,21.50699619,-0.927556667,leafmintomaxSoS_threshold_EVI3,40,14,54
-6.3333333,0.288718925,21.57863532,-2.22565719,leafmintomaxSoS_threshold_EVI2,44,15,59
4.6666667,0.458399258,27.81674433,-6.350616104,leafmintomaxcubic_SoS_threshold_EVI3,5,55,60
9.6666667,0.280695461,21.87483047,-1.999614667,leaffiltercubic_SoS_threshold_NDPI2,46,16,62
4.6666667,0.312842,24.96847259,-3.167044856,leafmintomaxdoublelogistic_SoS_threshold_EVI3,32,31,63
13.6666667,0.554132297,29.42024197,-5.953406094,leafmintomaxcubic_SoS_threshold_EVI2,2,68,70
1.6666667,0.302009261,25.79651152,-3.019043622,leafmintomaxSoS_threshold_EVI1,39,36,75
0.6666667,0.22613985,21.2130037,-1.636562257,leaffilterSoS_threshold_NDVI2,70,11,81
1.6666667,0.221065387,21.89402797,-1.986562869,leafmintomaxSoS_threshold_NDVI2,73,18,91
-1.3333333,0.314122025,28.42312624,-3.877255907,leafdoublelogistic_SoS_threshold_EVI4,31,60,91
-3.3333333,0.408522679,30.77779238,-7.265896301,leafmintomaxcubic_SoS_threshold_EVI4,12,81,93
